Twitter Message Archive for iccc - created 2010-07-01 by Tweet Scan
User,Message,Time,ImageUrl,MessageUrl,ID
iccc," Slideshow went well, lovely food put on by the PDT. Made a thousand goodbyes and fled into the night.Now cruising up the Bovec valley wi ...",1250997971,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/3480236507,3480236507
iccc," Bivi closed for another 11 months, all down for pizza&pivo in Tolmin.Amazingly productive expo, all gear recovered from caves and no inj ...",1250813336,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/3433245874,3433245874
iccc," Caves derigged! Last camp a bit of an epic photo, survey, push, via zimmer and then up into metal camp. Carries today, last bit of surve ...",1250702647,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/3403984427,3403984427
iccc," Latest camp finds HANGING GARDEN, a way through the boulder choke at the bottom of HM to find bolts on FALLS ROAD off F-SHIP gallery. Wi ...",1250366642,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/3329054572,3329054572
iccc," New pitch HAPPY MONDAY 81m takes below camp to -534m! Beautiful stream cut passage racing down. Worryingly close to Friendship gallery t ...",1250108034,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/3266651966,3266651966
iccc," JKP/DG 2 day camp,discovered underground river at ~380m below Dark Tranquility.Leads multiplying...AJ/MF on camp night train.Much surf work.",1249414463,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/3125049649,3125049649
iccc," Camp opened for business by JMF/AJ! Only 3 tacklesac each from traverse chamb. Water issues - need to rig one of the damp pitches. BEAST ...",1249079173,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/3054678889,3054678889
iccc," Silos windows pushed to base of ~30m pitch JH/MF. 5 bags UG camp stuff to traverse chamb and CK rig JKP/TS. S1 opened for business. DG a ...",1248977993,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2929807608,2929807608
iccc," AJ/MF:NCB new rope from lvl2, and removed 20kg inapp positioned rock on trades ent. JH/AH/WF:GW took 3bags UG camp gear to pico. JMF/JKP ...",1248838086,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2898398482,2898398482
iccc," 2nd day of carry, now conc on UG camp and cave equip. JKP/MF off to piston GW to rig and check ropes, midnight call out. Weather lovely, ...",1248739746,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2875484883,2875484883
iccc," 2 carries, top food at biv. Frozen solid up top, viz absolutely stunning. Decadent lights of capitalism in italy, stunning milky way and ...",1248661361,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2858817096,2858817096
iccc," Smooth exit from london with 6 in the van. Unfortunately ferry 2hrs late! Forecast good for sunday, deteriorating into week. Hopefully t ...",1248491283,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2826907640,2826907640
iccc," Van packed, more or less! 19 crates, 3 barrels on roof, countless small items squeezed under seats and along side gear. Thirsty work. St ...",1248393865,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2803537506,2803537506
iccc," Last shop-dried Soya, P-nut butter&a little notebook for underground camp!Another stores session packing mountainousness piles of equipment",1248229701,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2765361537,2765361537
iccc," Just calibrated 5 sets of survey instruments - agreement actually shockingly good, only 1 clino + 1 compass out by ~1 deg.",1248141628,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2745413745,2745413745
iccc," Tet: Big Slov weeks starts 5th Aug. Set tarps up today and hauled 4 bags of snow. If weather holds will stay up till wed.",1248141212,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2745301969,2745301969
iccc," From Tet: No snow in bivvy but some nearby. Shitpit looking good... no flies! watching classic krn sunset. Back Tolmin Tues or Wed.",1248049132,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2725971431,2725971431
iccc," Been sorting survey data,check this pretty image: http://bit.ly/3elokx",1247953560,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2708301921,2708301921
iccc," T-6! Bought new saucepans, Nido, lots of plastic bags. Weather in Slovenia still very wet - flooding in places.",1247953509,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2708290830,2708290830
iccc," T- 21 635.20 blown at the Park Royal Makro. ~47 man weeks of food, including 25kg cheese, 20kg rice, 22kg pasta, 5L olive oil :)",1246658763,http://s3.amazonaws.com/twitter_production/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2460613303,2460613303
iccc," T -28 days! Vango F10s brought out of retirement and reproofed for duty. So few spare days left, so much to organise yet we'll get there!",1245987359,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/2333862209,2333862209
iccc," 58 Days to Go(!): Off to Oxford for a caving gear Avon party, courtesy of Silent River. Converted our DEM data from the Karst Inst --&gt; SVX.",1243459879,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/1937291631,1937291631
iccc," Beast Products is graciously sponsoring us with UG fleeces. Funding from GPF and ICU. Ferry Booked. Slideshow T'min lib 8pm Sat 22nd Aug.",1242862499,http://a1.twimg.com/profile_images/56287310/ICCC_logo_highres_blackborder_normal.jpg,http://twitter.com/iccc/statuses/1862078265,1862078265
